LAT,LON,weighted_count
34.0386,-118.2201,0.0
34.0615,-118.2412,0.0
34.0301,-118.4272,0.0
33.9382,-118.2917,0.0
34.0375,-118.3301,0.0
34.0389,-118.3272,0.0
34.0375,-118.3301,0.0
34.0375,-118.3301,0.0
34.035,-118.3284,2.625
34.0344,-118.3284,2.625
34.0268,-118.3318,2.625
34.0268,-118.3318,2.625
34.0276,-118.3282,0.0
34.0256,-118.3282,0.0
34.0268,-118.3318,0.0
34.0268,-118.3318,0.0
34.023,-118.3283,0.0
34.0268,-118.3318,0.0
34.008,-118.3288,2.625
34.0057,-118.3276,0.0
34.0037,-118.3281,0.0
34.0025,-118.3281,0.0
34.0018,-118.3281,2.625
34.0009,-118.3282,0.0
34.0,-118.3282,0.0
33.999,-118.3282,0.0
33.9931,-118.3282,9.625
33.9909,-118.3282,5.25
33.9872,-118.3286,2.625
33.9854,-118.3279,6.125
33.9846,-118.3279,0.0
33.9837,-118.3279,2.625
33.9829,-118.3279,18.375
33.9817,-118.3279,2.625
33.9782,-118.328,15.75
33.9773,-118.3279,0.0
33.9765,-118.328,5.25
33.9757,-118.328,18.375
33.9745,-118.3286,2.625
33.9736,-118.3286,2.625
34.0343,-118.3296,0.0
34.0299,-118.3289,2.625
34.0276,-118.3293,0.0
34.0256,-118.3293,2.625
34.0241,-118.3294,7.0
34.01,-118.3296,21.0
34.0084,-118.3296,0.0
34.0053,-118.3296,0.0
34.0037,-118.3294,5.25
34.0025,-118.3294,0.0
34.0,-118.3294,0.0
33.9985,-118.3294,5.25
33.9977,-118.3294,2.625
33.9963,-118.3294,0.0
33.9949,-118.3294,13.125
33.9931,-118.3294,2.625
33.9909,-118.3294,15.75
33.9854,-118.3294,0.0
33.9846,-118.3294,2.625
33.9837,-118.3294,0.0
33.9829,-118.3294,0.0
33.9817,-118.3294,2.625
33.9797,-118.3294,5.25
33.9781,-118.3294,0.0
33.9775,-118.3294,6.125
33.9757,-118.3294,0.0
34.0476,-118.3246,2.625
34.0464,-118.3252,7.875
